华北制药股份有限公司（制药总厂）,tvsitet1
石家庄柏坡正元化肥有限公司,tvsitet72
河北西柏坡第二发电有限责任公司（平山污水处理厂）,tvsitet73
河北西柏坡第二发电有限责任公司,tvsitet74
河北西柏坡发电有限责任公司,tvsitet75
元氏县宏升化工有限责任公司,tvsitet76
河北九天医药化工有限公司,tvsitet77
河北诚信有限责任公司,tvsitet78
石家庄市天马淀粉厂,tvsitet79
元氏县金鹏纸业有限责任公司,tvsitet80
元氏县槐阳污水处理厂,tvsitet81
石家庄力源生物蛋白有限公司,tvsitet82
河北澳鑫牧业有限公司,tvsitet83
河北赵州利民糖业集团有限公司,tvsitet84
河北兴柏药业集团有限公司,tvsitet85
赵县赵州热电有限公司,tvsitet86
河北华泰纸业有限公司,tvsitet87
赵县清源污水处理厂,tvsitet88
河北银发华鼎环保科技有限公司第一分公司,tvsitet89
石家庄金刚内燃机零部件集团有限公司,tvsitet90
石家庄东华金龙化工有限公司,tvsitet91
河北省藁城市化肥总厂,tvsitet92
河北吉藁化纤有限责任公司,tvsitet93
华北制药河北华民药业有限责任公司（倍达工厂）,tvsitet94
华北制药华胜有限公司,tvsitet95
中国石油化工股份有限公司石家庄炼化分公司,tvsitet96
石家庄良村热电有限公司,tvsitet97
藁城市中润纸业有限公司,tvsitet98
石家庄经济技术开发区污水处理厂,tvsitet99
藁城市水处理中心,tvsitet100
藁城天意热电有限公司,tvsitet101
河北双鸽美丹畜牧科技有限公司,tvsitet102
晋州市城市污水处理厂,tvsitet103
河北建投生物发电有限责任公司,tvsitet104
河北新化股份有限公司,tvsitet105
石家庄新乐东方热电有限公司,tvsitet106
河北金万泰化肥有限责任公司,tvsitet107
新乐市升美水净化有限公司,tvsitet108
鹿泉市远大工业公司,tvsitet109
鹿泉市曲寨热电厂,tvsitet110
河北华电石家庄鹿华热电有限公司,tvsitet111
石家庄西部上庄污水处理厂,tvsitet112
石家庄君乐宝乳业有限公司(原石家庄三鹿乳业有限公司),tvsitet113
石家庄君乐宝乐时乳业有限公司(原石家庄三鹿乐时乳业有限公司),tvsitet114
鹿泉市金隅鼎鑫水泥有限公司（鹿泉市东方鼎鑫水泥有限公司）,tvsitet115
鹿泉市污水处理厂,tvsitet116
鹿泉市曲寨水泥有限公司,tvsitet117
石家庄双联化工有限责任公司,tvsitet118
石家庄永盛乳业有限公司,tvsitet119
河北珠江啤酒有限公司,tvsitet120
唐山市丰润区立丰金属制品有限公司,tvsitet122
唐山市丰润区鸿翔金属制品有限公司,tvsitet123
唐山市丰润区昇泰金属表面处理有限公司,tvsitet124
华润电力唐山丰润有限公司,tvsitet125
唐山市路北区韩城污水处理有限公司,tvsitet126
唐山首钢京唐西山焦化有限责任公司,tvsitet127
唐山市丰丰冷轧带钢有限公司,tvsitet128
唐山市丰润区顺德冷轧带钢厂,tvsitet129
唐山市丰润区金源精密铸件厂,tvsitet130
唐山市鸿丰高频焊管厂,tvsitet131
唐山恒天然牧场有限公司,tvsitet132
唐山钢铁集团有限责任公司(南区),tvsitet133
唐山城市排水有限公司西郊污水处理二厂,tvsitet134
唐山城市排水有限公司北郊污水处理厂,tvsitet135
河北大唐国际唐山热电有限责任公司,tvsitet136
唐山冀东启新水泥有限责任公司,tvsitet137
唐山市宏伟炼焦制气有限公司,tvsitet138
河北永顺实业集团有限公司,tvsitet139
唐山市荣义炼焦制气有限公司,tvsitet140
唐山市汇丰炼焦制气有限公司,tvsitet141
开滦协鑫发电有限公司,tvsitet142
唐山风帆宏文蓄电池有限公司,tvsitet143
唐山宏文冷轧不锈钢有限公司,tvsitet144
开滦能源化工股份有限公司范各庄矿业分公司,tvsitet145
唐山冀东水泥三友有限公司,tvsitet146
唐山城市排水有限公司古冶运营分公司,tvsitet147
唐山六九水泥有限公司,tvsitet148
唐山开滦热电有限责任公司林电分公司,tvsitet149
唐山市春兴特种钢有限公司,tvsitet150
唐山宏源污水处理有限责任公司,tvsitet151
唐山不锈钢有限责任公司,tvsitet152
唐山国义特种钢铁有限公司,tvsitet153
唐山开滦东方发电有限责任公司,tvsitet154
唐山市燕南水泥有限公司,tvsitet155
唐山钢铁集团有限责任公司（北区）,tvsitet156
唐山钢源冶金炉料有限公司,tvsitet157
河北唐银钢铁有限公司,tvsitet158
大唐国际发电股份有限公司陡河发电厂,tvsitet159
河北银水实业集团有限公司,tvsitet160
唐山城市排水有限公司东郊污水处理厂,tvsitet161
唐山贝氏体钢铁集团顺兴钢铁有限公司,tvsitet162
唐山市丰南区群利金属制品有限公司,tvsitet163
唐山国丰第一冷轧镀锌技术有限公司,tvsitet164
唐山正元管业有限公司,tvsitet165
百威英博唐山啤酒有限公司,tvsitet166
唐山洁城能源有限公司,tvsitet167
开滦集团有限责任公司钱家营矿业分公司,tvsitet168
唐山惠达集团洁具有限公司,tvsitet169
唐山瑞丰钢铁（集团）粤丰钢铁有限公司,tvsitet170
唐山市丰南区第二中水厂,tvsitet171
唐山市丰南区凯恒钢铁有限公司(原唐山瑞丰钢铁（集团）金友钢铁有限公司),tvsitet172
唐山国丰钢铁有限公司,tvsitet173
唐山市丰南区钱家营煤矸石综合利用发电有限公司,tvsitet174
唐山东华钢铁企业集团有限公司,tvsitet175
唐山市丰南区城南污水处理有限公司,tvsitet176
唐山市清泉钢铁集团有限责任公司,tvsitet177
唐山市丰南区经安钢铁有限公司,tvsitet178
唐山贝氏体钢铁(集团)福丰钢铁有限公司,tvsitet179
唐山瑞丰钢铁(集团)有限公司,tvsitet180
唐山北阳洗煤炼焦有限公司,tvsitet181
唐山市丰南区利源污水处理有限公司,tvsitet182
唐山榕丰钢铁有限公司,tvsitet183
唐山达丰焦化有限公司,tvsitet184
唐山达丰焦化有限公司（废气）,tvsitet185
唐山市丰南区群利钢铁炉料有限公司,tvsitet186
唐山丰南宏烨炉料有限公司,tvsitet187
唐山市丰南区瑞源污水处理有限公司,tvsitet188
唐山轨道客车有限责任公司,tvsitet189
河北圣雪大成唐山制药有限责任公司,tvsitet190
唐山冀东水泥股份有限公司,tvsitet191
唐山钢铁集团有限责任公司炼焦制气厂,tvsitet192
唐山燕东水泥股份有限公司,tvsitet193
开滦（集团）有限责任公司东欢坨矿业分公司,tvsitet194
冀东水泥丰润有限责任公司,tvsitet195
河北津西钢铁集团正达钢铁有限公司,tvsitet196
河北大唐国际丰润热电有限责任公司,tvsitet197
唐山泓泰水泥有限公司,tvsitet198
唐山飞龙水泥有限责任公司,tvsitet199
唐山新宝泰钢铁有限公司,tvsitet200
唐山城市排水有限公司丰润污水处理厂,tvsitet201
唐山市冀东溶剂有限公司,tvsitet202
河北天柱钢铁集团有限公司,tvsitet203
唐山城市排水有限公司曹妃甸区运营分公司生态城厂,tvsitet204
唐山首钢京唐西山焦化有限责任公司（危废）,tvsitet205
华润电力（唐山曹妃甸）有限公司,tvsitet206
首钢京唐钢铁联合有限责任公司,tvsitet207
唐山城市排水有限公司曹妃甸区运营分公司,tvsitet208
中国石油天然气股份有限公司冀东油田分公司,tvsitet209
唐山北极熊建材有限公司,tvsitet210
河北曙光强兴水泥有限公司,tvsitet211
唐钢美锦（唐山）煤化工有限公司,tvsitet212
滦县城东水务运营有限责任公司,tvsitet213
滦县国创炼焦制气有限公司,tvsitet214
唐山市冀滦纸业有限公司,tvsitet215
滦县金马工业有限公司,tvsitet216
河北东海特钢集团有限公司,tvsitet217
冀东水泥滦县有限责任公司,tvsitet218
唐山安泰钢铁有限公司,tvsitet219
唐山兴隆钢铁有限公司,tvsitet220
唐山东海钢铁集团有限公司,tvsitet221
河北钢铁集团滦县司家营铁矿有限公司,tvsitet222
滦南县清源污水处理有限公司,tvsitet223
唐山万浦热电有限公司,tvsitet224
唐山耀东水泥有限公司,tvsitet225
河北钢铁集团华西钢铁有限公司,tvsitet226
天津荣程集团唐山特种钢有限公司,tvsitet227
河北永新纸业有限公司,tvsitet228
唐山东方炼焦制气有限公司,tvsitet229
乐亭县污水处理厂,tvsitet230
厦门水务乐亭城建投资有限公司（河北乐亭经济开发区污水处理厂）,tvsitet231
唐山市德龙钢铁有限公司,tvsitet232
乐亭县张氏纸业有限公司,tvsitet233
乐亭县奥翔木糖醇有限公司,tvsitet234
唐山中厚板材有限公司,tvsitet235
河北津西钢铁集团特钢有限公司,tvsitet236
河北津西钢铁集团股份有限公司,tvsitet237
唐山旭成水质净化有限公司,tvsitet238
唐山弘也水泥有限公司,tvsitet239
唐山市玉田建邦实业有限公司,tvsitet240
河北昌泰纸业有限公司,tvsitet241
玉田县星冠特种水泥有限责任公司,tvsitet242
唐山中再生资源开发有限公司,tvsitet243
玉田县宏达造纸厂,tvsitet244
恒天然（玉田）牧场有限公司,tvsitet245
玉田县顺发实业有限公司,tvsitet246
玉田县绿源污水处理有限责任公司,tvsitet247
玉田县古玉煤焦化工有限公司,tvsitet248
玉田县宏利染整厂,tvsitet249
唐山域银水业有限公司,tvsitet250
玉田县大众宝来纸业有限公司,tvsitet251
玉田县昌荣纸业有限公司,tvsitet252
玉田县金螺纸业有限公司,tvsitet253
玉田县富兴纸业有限责任公司,tvsitet254
玉田县四通纸业有限公司,tvsitet255
唐山中浩化工有限公司,tvsitet256
唐山国丰第二冷轧镀锌技术有限公司,tvsitet257
唐山佳华煤化工有限公司,tvsitet258
唐山市通宝焦化有限公司,tvsitet259
唐山海港开发区污水处理有限公司,tvsitet260
河北大唐国际王滩发电有限责任公司,tvsitet261
唐山中润煤化工有限公司,tvsitet262
唐山三友化工股份有限公司,tvsitet263
唐山三友远达纤维有限公司,tvsitet264
唐山三友碱业（集团）有限公司,tvsitet265
唐山三友集团兴达化纤有限公司,tvsitet266
唐山市南堡经济技术开发区污水处理厂,tvsitet267
唐山三友硅业有限责任公司,tvsitet268
唐山三友热电有限责任公司,tvsitet269
唐山大通金属制品有限公司,tvsitet270
唐山建龙实业有限公司,tvsitet271
遵化国祯污水处理有限公司,tvsitet272
唐山港陆钢铁有限公司,tvsitet273
唐山建龙简舟钢铁有限公司,tvsitet274
唐山港陆焦化有限公司,tvsitet275
迁安市志诚润滑油有限公司,tvsitet276
迁安市四通纸业有限公司,tvsitet277
唐山宝利源炼焦有限公司,tvsitet278
河北迁安化肥股份有限公司,tvsitet279
唐山松汀钢铁有限公司（原河北钢铁集团松汀钢铁有限公司）,tvsitet280
迁安市华控环境投资有限责任公司,tvsitet281
唐山市蓝海实业有限公司,tvsitet282
迁安恒晖热电有限公司(原迁安胜科热电有限公司),tvsitet283
河北钢铁集团荣信钢铁有限公司,tvsitet284
唐山燕山钢铁有限公司,tvsitet285
迁安市宏奥工贸有限公司,tvsitet286
迁安市九江线材有限责任公司,tvsitet287
河北鑫达钢铁有限公司,tvsitet288
迁安轧一钢铁集团有限公司(津安),tvsitet289
河北省首钢迁安钢铁有限责任公司,tvsitet290
迁安中化煤化工有限责任公司,tvsitet291
迁安市津唐球墨铸管有限公司,tvsitet292
迁安轧一钢铁集团有限公司,tvsitet293
河北京东管业有限公司,tvsitet294
迁安市九江煤炭储运有限公司,tvsitet295
河北大唐国际迁安热电有限责任公司(原迁安大唐热电有限责任公司),tvsitet296
迁安市成达精密铸造有限公司,tvsitet297
首钢矿业公司（烧结厂）,tvsitet298
首钢矿业公司球团厂,tvsitet299
秦皇岛天宝资源再生环保科技有限公司,tvsitet301
中节能（秦皇岛）环保能源有限公司,tvsitet302
昌黎县兴国精密机件有限公司,tvsitet303
秦皇岛开发区泰盛水务有限公司九号污水厂,tvsitet304
秦皇岛耀华玻璃工业园有限责任公司,tvsitet305
秦皇岛北方玻璃集团有限公司,tvsitet306
秦皇岛市第一污水处理厂,tvsitet307
秦皇岛中石油燃料沥青有限责任公司,tvsitet308
秦皇岛发电有限责任公司,tvsitet309
奥科宁克（秦皇岛）铝业有限公司,tvsitet310
秦皇岛市第三污水处理厂,tvsitet311
国中（秦皇岛）污水处理有限公司,tvsitet312
秦皇岛秦热发电有限责任公司,tvsitet313
秦皇岛三益工业固体废料处理有限公司,tvsitet314
中冶秦皇岛水务有限公司,tvsitet315
秦皇岛首秦龙汇矿业有限公司,tvsitet316
青龙满族自治县满源污水处理有限公司,tvsitet317
昌黎冀东水泥有限公司,tvsitet318
秦皇岛鹏远淀粉有限公司,tvsitet319
秦皇岛碧水源环境科技有限公司,tvsitet320
秦皇岛安丰钢铁有限公司,tvsitet321
秦皇岛宏兴钢铁有限公司,tvsitet322
秦皇岛顺先钢铁有限公司,tvsitet323
秦皇岛索坤玻璃容器有限公司,tvsitet324
国水（昌黎）污水处理有限公司,tvsitet325
秦皇岛首钢长白结晶器有限责任公司,tvsitet326
抚宁县绿源城乡基础设施建设投资有限公司留守营污水处理分公司,tvsitet327
秦皇岛市前韩纸业有限公司,tvsitet328
秦皇岛市抚宁徐山口危险物品处理站,tvsitet329
秦皇岛排水有限责任公司第二污水处理厂,tvsitet330
秦皇岛方圆包装玻璃有限公司,tvsitet331
秦皇岛浅野水泥有限公司,tvsitet332
秦皇岛市抚宁县丰满板纸有限公司,tvsitet333
秦皇岛沅泰纸业有限公司,tvsitet334
秦皇岛市信合水泥有限公司,tvsitet335
秦皇岛骊骅淀粉股份有限公司,tvsitet336
秦皇岛方圆玻璃有限公司,tvsitet337
秦皇岛市抚宁华盛新纸业有限公司,tvsitet338
秦皇岛首秦金属材料有限公司,tvsitet339
秦皇岛金茂源纸业有限公司,tvsitet340
河北天成化工股份有限公司卢龙分公司,tvsitet341
卢龙县龙凤河水污染综合治理工程,tvsitet342
秦皇岛排水有限责任公司第六污水处理厂,tvsitet343
卢龙县双益磷化有限责任公司,tvsitet344
河北武山水泥有限公司,tvsitet345
卢龙县圣源玉米开发有限公司,tvsitet346
秦皇岛佰工钢铁有限公司,tvsitet347
卢龙百恒实业有限公司,tvsitet348
艾尔姆风能叶片制品（秦皇岛）有限公司,tvsitet349
山海关船舶重工有限责任公司,tvsitet350
秦皇岛开发区泰盛动力有限公司,tvsitet351
秦皇岛同和热电有限公司,tvsitet352
秦皇岛金海食品工业有限公司,tvsitet353
秦皇岛开发区泰盛水务有限公司龙海道污水处理厂,tvsitet354
秦皇岛开发区泰盛水务有限公司二号污水厂,tvsitet355
宏启胜精密电子（秦皇岛）有限公司,tvsitet356
中粤浦项（秦皇岛）马口铁工业有限公司,tvsitet357
秦皇岛市兆丰纸业有限公司,tvsitet358
邯郸市立元印染有限公司,tvsitet360
河北和兆益祥再生资源利用有限公司,tvsitet361
河北钢铁股份有限公司邯郸分公司,tvsitet362
邯郸惠天环保科技有限公司,tvsitet363
河北立元纺织有限公司,tvsitet364
河北邯郸热电股份有限公司,tvsitet365
国电电力发展股份有限公司邯郸热电厂,tvsitet366
邯郸钢铁集团有限责任公司,tvsitet367
邯钢集团邯宝钢铁有限公司,tvsitet368
邯郸市市政污水处理有限责任公司西污水处理厂,tvsitet369
邯郸金隅太行水泥有限责任公司（原河北太行水泥股份有限公司）,tvsitet370
邯郸市峰峰锦昇污水处理有限公司（峰峰镇污水处理厂）,tvsitet371
河北邯峰发电有限责任公司,tvsitet372
河北峰煤焦化有限公司,tvsitet373
冀中能源峰峰集团有限公司薛村矸石热电厂,tvsitet374
邯郸市峰峰恒丰钢铁有限公司,tvsitet375
冀中能源峰峰集团有限公司五矿矸石热电厂,tvsitet376
邯郸市峰峰矿区华瑞热电有限责任公司,tvsitet377
冀中能源峰峰集团有限公司孙庄矸石热电厂,tvsitet378
河北宝信钢铁有限公司,tvsitet379
峰峰矿区合信钢铁有限公司,tvsitet380
华瑞（邯郸）铸管有限公司,tvsitet381
邯郸成晟水务有限公司,tvsitet382
邯郸鹏鑫特种钢铁有限公司,tvsitet383
峰峰矿区津泉水业有限责任公司,tvsitet384
冀中能源股份有限公司邯郸陶二矸石热电厂,tvsitet385
邯郸市市政排水有限责任公司东污水处理厂,tvsitet386
河北纵横钢铁集团有限公司,tvsitet387
邯郸通用污水处理有限责任公司,tvsitet388
临漳县永康纸业有限公司,tvsitet389
临漳县污水处理厂,tvsitet390
成安县环洁公司,tvsitet391
国能成安生物发电有限公司,tvsitet392
大名金州水务有限公司,tvsitet393
天铁生活区更乐镇居民生活污水处理回用工程,tvsitet394
天津天铁冶金集团有限公司（天津铁厂）,tvsitet395
崇利制钢有限公司,tvsitet396
邯郸涉县金隅水泥有限公司(原河北宙石水泥有限公司),tvsitet397
国电河北龙山发电有限责任公司（原国电一五零发电厂关闭）,tvsitet398
涉县清漳污水处理厂,tvsitet399
冀中能源峰峰集团有限公司九龙矸石热电厂,tvsitet400
磁县六合工业有限公司矸石发电分公司(原磁县观台矸石发电厂）,tvsitet401
磁县申家庄煤矿矸石发电厂,tvsitet402
河北景明循环产业股份有限公司,tvsitet403
磁县污水处理厂,tvsitet404
肥乡县污水处理厂,tvsitet405
河北省永年县焦窑坑口电厂,tvsitet406
河北永洋特钢集团有限公司,tvsitet407
永年县永美热电有限公司,tvsitet408
邯郸市紫山特钢集团建发高强度标准件材料有限公司,tvsitet409
永年县县城污水处理厂,tvsitet410
邱县神龙印染有限公司,tvsitet411
邱县污水处理厂,tvsitet412
河北威利邦生物发电有限公司,tvsitet413
鸡泽县污水处理厂,tvsitet414
广平县污水处理厂,tvsitet415
馆陶新能生物质热电有限公司,tvsitet416
馆陶县永青污水处理有限公司,tvsitet417
魏县污水处理厂,tvsitet418
曲周县污水处理公司,tvsitet419
大唐河北发电有限公司马头热电分公司,tvsitet420
河北马头发电有限责任公司,tvsitet421
新兴铸管股份有限公司,tvsitet422
河北新武安钢铁集团鑫山钢铁有限公司,tvsitet423
大唐武安发电有限公司,tvsitet424
河北钢铁集团金鼎重工股份有限公司,tvsitet425
武安市水处理有限公司,tvsitet426
武安顶峰热电有限公司,tvsitet427
河北普阳钢铁有限公司,tvsitet428
河北新金钢铁有限公司,tvsitet429
河北龙凤山铸业有限公司,tvsitet430
武安市新峰水泥有限责任公司,tvsitet431
河北新武安钢铁集团东山冶金有限公司,tvsitet432
河北兴华钢铁有限公司,tvsitet433
河北文丰钢铁有限公司,tvsitet434
河北新武安钢铁集团鑫汇冶金有限公司,tvsitet435
武安市运丰冶金工业有限公司,tvsitet436
武安市裕华钢铁有限公司,tvsitet437
河北新武安钢铁集团烘熔钢铁有限公司,tvsitet438
中普（邯郸）钢铁有限公司,tvsitet439
武安市永诚铸业有限责任公司,tvsitet440
河北新武安钢铁集团文安钢铁有限公司,tvsitet441
河北亿丰热电有限公司(原武安市电业公司热电厂),tvsitet442
冀中能源邯郸矿业集团云宁矸石热电有限公司,tvsitet443
武安市广耀铸业有限公司,tvsitet444
河北新武安钢铁集团明芳钢铁有限公司,tvsitet445
冀中能源峰峰集团有限公司万年矿,tvsitet446
广宗县益弘金属表面处理有限公司,tvsitet448
建投邢台热电有限责任公司,tvsitet449
清河开发区污水处理厂,tvsitet450
沙河市太行涂布纸业有限公司,tvsitet451
临西县和兴食品有限公司,tvsitet452
隆尧县魏庄镇镀锌工业区,tvsitet453
南宫龙腾煤化工有限公司,tvsitet454
隆尧县东方污水处理厂,tvsitet455
邢台恒亿再生资源回收有限公司,tvsitet456
河北建投沙河发电有限责任公司,tvsitet457
邢台惠恩纳电镀有限公司,tvsitet458
清河县伟创金属表面处理科技有限公司,tvsitet459
奎山冀东水泥有限公司,tvsitet460
河北大光明实业集团嘉晶玻璃有限公司,tvsitet461
河北中煤旭阳焦化有限公司,tvsitet462
邢台市宁波紧固件有限公司,tvsitet463
邢台市振成机械有限公司,tvsitet464
巨鹿县昌盛纺织有限公司,tvsitet465
邢台市污水处理厂,tvsitet466
邢台钢铁有限责任公司,tvsitet467
冀中能源股份有限公司邢台矿污水处理厂,tvsitet468
邢台国泰发电有限责任公司,tvsitet469
冀中能源股份有限公司矸石热电厂,tvsitet470
德龙钢铁有限公司,tvsitet471
邢台春雨工贸有限公司,tvsitet472
临城县泜河污水处理厂,tvsitet473
邢台中瑞达水务有限公司,tvsitet474
冀中能源股份有限公司东庞矿污水处理厂,tvsitet475
冀中能源股份有限公司东庞矿矸石热电厂,tvsitet476
内丘顺达钢铁冶炼有限公司,tvsitet477
建滔（河北）化工有限公司,tvsitet478
建滔（河北）焦化有限公司,tvsitet479
柏乡县污水处理厂,tvsitet480
柏乡县兴旺纸制品厂,tvsitet481
丰源（邢台）特种纸业有限公司,tvsitet482
今麦郎食品有限公司,tvsitet483
隆尧县城镇污水处理厂,tvsitet484
隆尧天唯热电有限公司,tvsitet485
任县污水处理厂,tvsitet486
河北航宇集团有限公司,tvsitet487
南和县污水处理厂,tvsitet488
燕京啤酒（邢台）有限公司,tvsitet489
河北玉锋淀粉糖业集团有限公司,tvsitet490
河北宁纺集团有限责任公司,tvsitet491
宁晋县碧源污水处理厂,tvsitet492
河北健民淀粉糖业有限公司,tvsitet493
巨鹿县科林污水处理技术服务有限公司,tvsitet494
河北天茂印染有限责任公司,tvsitet495
新河县玉树污水处理厂,tvsitet496
河北鑫合生物化工有限公司,tvsitet497
广宗县污水处理厂,tvsitet498
河北广玉淀粉糖业有限公司,tvsitet499
平乡县瑞盈环境科技有限公司,tvsitet500
威县泰达纸业有限公司,tvsitet501
威县清源污水处理厂,tvsitet502
清河县碧蓝污水处理厂,tvsitet503
临西县洁达污水处理厂,tvsitet504
中建冀泉中水有限责任公司七里河污水处理分厂,tvsitet505
沙河市飞天农业特种纸厂,tvsitet506
邢台东庞通达煤电有限公司邢东热电厂,tvsitet507
沙河市久发纸业有限公司,tvsitet508
沙河市锦新纸业有限公司,tvsitet509
大曹庄管理区污水处理厂,tvsitet510
河北省四通绒毛有限公司,tvsitet511
南宫华澳皮毛有限公司,tvsitet512
国能南宫生物发电有限公司,tvsitet513
南宫市泉源毛皮制品厂,tvsitet514
河北千喜鹤肉类产业有限公司,tvsitet515
南宫市嘉诚水质净化有限公司,tvsitet516
河北金鼎绒业有限公司,tvsitet517
冀中能源股份有限公司显德汪矿污水处理厂,tvsitet518
冀中能源股份有限公司章村矿矸石热电厂,tvsitet519
沙河市东方纸业有限公司,tvsitet520
沙河市污水处理厂,tvsitet521
沙河市恒源造纸厂,tvsitet522
沙河市安全实业有限公司,tvsitet523
河北迎新集团矸石热电有限公司,tvsitet524
邢台金丰球铁科技有限公司,tvsitet525
沙河市华远冶金有限责任公司,tvsitet526
沙河市恒森涂布纸业有限公司,tvsitet527
龙星化工股份有限公司,tvsitet528
沙河市长城玻璃有限公司,tvsitet529
沙河市万隆陶瓷有限公司,tvsitet530
沙河市金通涂布纸有限公司,tvsitet531
易县龙烁供热有限责任公司,tvsitet533
保定白沟吉忠热力有限责任公司,tvsitet534
中国石化集团保定石油化工厂,tvsitet535
三利集团有限公司,tvsitet536
曲阳田原热力有限责任公司,tvsitet537
保定市尧润环保科技有限责任公司容城分公司,tvsitet538
保定安驰蓄电池制造有限公司,tvsitet539
风帆股份有限公司高新电源分公司,tvsitet540
保定市港兴纸业有限公司,tvsitet541
保定翔羽纸业有限公司,tvsitet542
河北金宇晟再生资源利用有限公司,tvsitet543
河北英泰环境工程有限公司（高碑店市污水处理厂）,tvsitet544
高碑店市鸿鹏箱包有限公司,tvsitet545
河北大无缝铜业有限公司,tvsitet546
保定市排水总公司溪源污水处理厂,tvsitet547
保定光为绿色能源科技有限公司,tvsitet548
保定港安有色金属有限公司,tvsitet549
保定市满城城东纸业有限公司,tvsitet550
保定中硕蓄电池有限公司,tvsitet551
保定双帆蓄电池有限责任公司,tvsitet552
保定太行和益水泥有限公司,tvsitet553
保定华康纸业有限公司,tvsitet554
河北松赫再生资源股份有限公司,tvsitet555
中科国益水务有限公司（开发区分厂）,tvsitet556
河北风华环保服务有限公司,tvsitet557
满城县飞跃造纸有限公司,tvsitet558
恒天天鹅股份有限公司,tvsitet559
保定钞票纸业有限公司,tvsitet560
保定市排水总公司（鲁岗污水处理厂）,tvsitet561
大唐保定华源热电有限责任公司,tvsitet562
风帆股份有限公司,tvsitet563
大唐保定热电厂,tvsitet564
保定市三联纸业有限公司,tvsitet565
保定市排水总公司（银定庄污水处理厂）,tvsitet566
长城汽车股份有限公司,tvsitet567
河北雪松纸业有限公司,tvsitet568
满城县新豪达涂布纸厂,tvsitet569
保定市满城县福利造纸厂,tvsitet570
保定市满城县眺山营福利造纸厂,tvsitet571
满城县利民造纸厂,tvsitet572
满城县玉泉水务有限公司,tvsitet573
满城县大册营水处理有限责任公司,tvsitet574
风帆股份有限公司有色金属分公司,tvsitet575
保定飓风蓄电池有限公司,tvsitet576
大唐清苑热电有限公司,tvsitet577
中节能（保定）环保能源有限公司,tvsitet578
清苑县祥太水务有限责任公司,tvsitet579
